date,<20,20s,30s,40s,50s,60s,70s,80s,90s
05-16,13.0,78.0,46.0,53.0,88.0,58.0,41.0,55.0,39.0
05-17,13.0,78.0,47.0,53.0,88.0,58.0,42.0,55.0,39.0
05-18,13.0,80.0,50.0,54.0,89.0,60.0,42.0,55.0,39.0
05-19,13.0,81.0,50.0,54.0,89.0,60.0,43.0,56.0,39.0
05-20,13.0,82.0,50.0,55.0,91.0,60.0,44.0,57.0,39.0
05-21,13.0,82.0,50.0,55.0,91.0,60.0,44.0,57.0,39.0
05-22,13.0,82.0,52.0,55.0,92.0,61.0,44.0,57.0,39.0
05-23,13.0,84.0,52.0,55.0,95.0,61.0,44.0,57.0,39.0
05-24,13.0,84.0,52.0,55.0,95.0,61.0,45.0,57.0,39.0
05-25,13.0,86.0,53.0,55.0,96.0,61.0,45.0,57.0,39.0
05-26,13.0,87.0,53.0,56.0,96.0,61.0,45.0,58.0,40.0
05-27,13.0,87.0,54.0,56.0,96.0,61.0,46.0,59.0,40.0
05-28,13.0,89.0,57.0,58.0,97.0,61.0,46.0,59.0,40.0
05-29,13.0,94.0,62.0,59.0,97.0,61.0,46.0,59.0,40.0
05-30,14.0,96.0,62.0,59.0,97.0,61.0,47.0,60.0,40.0
05-31,15.0,97.0,62.0,59.0,97.0,61.0,48.0,60.0,40.0
06-01,16.0,97.0,62.0,59.0,97.0,62.0,48.0,60.0,40.0
06-02,17.0,98.0,62.0,62.0,97.0,62.0,48.0,60.0,40.0
06-03,17.0,98.0,63.0,63.0,97.0,62.0,48.0,60.0,40.0
06-04,17.0,99.0,63.0,63.0,97.0,62.0,48.0,60.0,40.0
06-05,19.0,100.0,63.0,63.0,98.0,62.0,48.0,60.0,40.0
06-06,19.0,100.0,63.0,63.0,98.0,62.0,48.0,60.0,40.0
06-07,19.0,102.0,63.0,64.0,98.0,64.0,48.0,60.0,40.0
06-08,19.0,103.0,63.0,64.0,98.0,64.0,48.0,60.0,40.0
06-09,19.0,107.0,64.0,64.0,99.0,66.0,48.0,60.0,40.0
06-10,19.0,107.0,65.0,64.0,99.0,66.0,48.0,60.0,40.0
06-11,19.0,110.0,65.0,64.0,100.0,66.0,48.0,60.0,40.0
