date,London,Durham,Halton,Hamilton,Ottawa,Waterloo,Windsor
2020-09-17,15.54873049069607,29.402987694630227,16.741148397953133,18.2577172747584,34.59053638656438,26.746324322924313,61.478702189794824
2020-09-17,15.54873049069607,29.40298769463023,16.741148397953133,18.2577172747584,34.59053638656438,26.74632432292432,61.47870218979482
2020-09-16,15.54873049069607,29.40298769463023,16.741148397953133,18.2577172747584,34.59053638656438,26.74632432292432,61.47870218979482
2020-09-15,15.427256033737507,29.373730990456465,16.534254699935175,18.152079566321994,34.20343999658561,26.64272332490136,61.31330983186685
2020-09-14,15.204552862646807,28.92025207576316,16.292878718914224,18.099260712103792,33.091778568954275,26.314653497828694,61.02978007541892
2020-09-13,15.083078405688246,28.78859690698124,16.172190728403745,18.02883557314619,32.49624566129463,26.19378566680193,60.935270156602925
2020-09-12,15.083078405688246,28.715455146546827,16.034261596391776,18.02883557314619,32.029744883627906,26.072917835775154,60.628112920451
2020-09-11,15.04258692003539,28.569171625678024,15.982538171887288,17.99362300366739,31.761755075181064,25.98658367075603,60.46272056252304
2020-09-10,15.062832662861814,28.4375164568961,15.879091322878304,17.88798529523099,31.394509782124285,25.727581175698663,60.34458316400307
2020-09-09,15.002095434382534,28.24734787976665,15.81012675687232,17.852772725752185,31.275403200592354,25.60671334467189,60.22644576548309
2020-09-08,14.961603948729682,28.188834471419128,15.689438766361844,17.782347586794582,31.11659442521645,25.50311234664894,60.179190806075106
2020-09-07,14.880620977423973,28.08643600681096,15.534268492848375,17.60628473940058,30.50121042063482,25.330444016610688,59.99017096844314
2020-09-06,14.880620977423973,28.08643600681096,15.534268492848375,17.60628473940058,30.50121042063482,25.330444016610688,59.99017096844314
2020-09-05,14.880620977423973,28.02792259846344,15.448062785340893,17.535859600442976,30.292773902953943,25.31317718360687,59.91928852933116
2020-09-04,14.880620977423973,27.940152485942154,15.396339360836404,17.39500932252777,29.99500744912412,25.29591035060305,59.84840609021917
2020-09-04,14.880620977423973,27.91089578176839,15.34461593633191,17.306977898830766,29.86597531913119,25.27864351759922,59.82477861051518
2020-09-03,14.880620977423973,27.91089578176839,15.34461593633191,17.306977898830766,29.86597531913119,25.27864351759922,59.82477861051518
2020-09-02,14.779392263291838,27.852382373420873,15.34461593633191,17.271765329351965,29.64761325298933,25.244109851591567,59.7066412119952
2020-09-02,14.779392263291838,27.852382373420873,15.34461593633191,17.271765329351965,29.64761325298933,25.244109851591567,59.7066412119952
2020-09-01,14.759146520465407,27.764612260899586,15.31013365332892,17.183733905654965,29.5285066714574,25.157775686572453,59.61213129317922
2020-09-01,14.759146520465407,27.764612260899586,15.31013365332892,17.183733905654965,29.5285066714574,25.157775686572453,59.61213129317922
2020-08-31,14.759146520465407,27.749983908812705,15.206686804319945,17.07809619721856,29.449102283769445,25.1232420205648,59.35222901643528
2020-08-30,14.738900777638984,27.676842148378306,15.189445662818446,17.07809619721856,29.240665766088572,25.1232420205648,59.2340916179153
2020-08-30,14.738900777638984,27.676842148378306,15.189445662818446,17.07809619721856,29.240665766088572,25.1232420205648,59.2340916179153
2020-08-28,14.698409291986131,27.53055862750949,15.137722238313957,16.972458488782152,28.88334602149278,24.985107356534204,58.643404625315426
2020-08-27,14.698409291986131,27.47204521916197,15.085998813809464,16.937245919303354,28.714611697655894,24.93330685752273,58.54889470649945
2020-08-26,14.63767206,27.3257617,14.98255196,16.99006477,28.49624963,24.89877319,58.26536495
2020-08-25,14.61742632,27.31113335,14.96531082,17.00767106,28.33744086,24.86423953,58.21810999
2020-08-24,14.59718058,27.31113335,14.96531082,17.00767106,28.33744086,24.86423953,58.21810999
2020-08-23,14.59718058,27.31113335,14.96531082,16.9548522,28.22825982,24.84697269,58.19448251
2020-08-22,14.57693484,27.29650499,14.9135874,16.91963963,28.08930214,24.82970586,58.09997259
