date,London,London_7,Durham,Durham_7,Halton,Halton_7,Hamilton,Hamilton_7,Ottawa,Ottawa_7,Waterloo,Waterloo_7,Windsor,Windsor_7
2021-03-25,33.0,24.428571428571427,139.0,82.85714285714286,42.0,36.285714285714285,12.0,39.0,142.0,79.71428571428571,48.0,27.0,16.0,24.428571428571427
2021-03-24,36.0,21.285714285714285,112.0,69.57142857142857,45.0,35.57142857142857,34.0,47.71428571428572,117.0,69.42857142857143,46.0,22.142857142857142,23.0,25.571428571428573
2021-03-23,28.0,18.0,124.0,63.42857142857143,68.0,34.857142857142854,56.0,54.285714285714285,63.0,63.142857142857146,29.0,19.428571428571427,27.0,23.857142857142858
2021-03-21,5.0,18.571428571428573,58.0,54.0,27.0,30.714285714285715,59.0,54.0,20.0,66.57142857142857,6.0,21.142857142857142,10.0,23.285714285714285
2021-03-19,15.0,21.571428571428573,48.0,52.285714285714285,16.0,32.142857142857146,47.0,54.285714285714285,62.0,75.0,6.0,25.0,19.0,25.714285714285715
2021-03-17,29.0,21.571428571428573,69.0,52.142857142857146,29.0,34.0,20.0,55.285714285714285,82.0,74.57142857142857,29.0,27.714285714285715,40.0,25.714285714285715
2021-03-16,25.0,18.857142857142858,30.0,48.0,27.0,33.142857142857146,45.0,56.142857142857146,72.0,70.71428571428571,25.0,27.0,36.0,23.142857142857142
2021-03-15,11.0,16.571428571428573,46.0,47.285714285714285,37.0,34.42857142857143,73.0,52.57142857142857,70.0,66.28571428571429,14.0,27.142857142857142,24.0,21.714285714285715
2021-03-14,13.0,16.571428571428573,69.0,49.85714285714285,40.0,34.57142857142857,80.0,42.57142857142857,73.0,61.42857142857143,27.0,29.857142857142858,11.0,21.142857142857142
2021-03-13,32.0,15.571428571428571,58.0,53.85714285714285,39.0,32.42857142857143,54.0,35.857142857142854,87.0,55.42857142857143,41.0,30.571428571428573,23.0,21.142857142857142
2021-03-12,26.0,11.428571428571429,46.0,53.0,37.0,30.142857142857142,61.0,33.285714285714285,79.0,47.42857142857143,33.0,27.857142857142858,27.0,18.714285714285715
2021-03-11,15.0,9.428571428571429,47.0,51.71428571428572,29.0,26.428571428571427,54.0,29.142857142857142,59.0,42.142857142857146,25.0,26.714285714285715,19.0,17.285714285714285
2021-03-10,10.0,9.142857142857142,40.0,50.85714285714285,23.0,22.857142857142858,26.0,25.857142857142858,55.0,39.71428571428572,24.0,25.714285714285715,22.0,17.571428571428573
2021-03-09,9.0,9.857142857142858,25.0,50.85714285714285,36.0,21.428571428571427,20.0,24.428571428571427,41.0,40.71428571428572,26.0,25.714285714285715,26.0,16.0
2021-03-08,11.0,10.714285714285714,64.0,55.285714285714285,38.0,20.0,3.0,23.571428571428573,36.0,45.85714285714285,33.0,29.0,20.0,14.0
2021-03-07,6.0,9.571428571428571,97.0,53.71428571428572,25.0,19.0,33.0,25.571428571428573,31.0,49.285714285714285,32.0,31.0,11.0,12.285714285714286
2021-03-06,3.0,10.0,52.0,45.57142857142857,23.0,21.285714285714285,36.0,23.142857142857142,31.0,51.285714285714285,22.0,33.42857142857143,6.0,13.428571428571429
2021-03-05,12.0,11.428571428571429,37.0,44.57142857142857,11.0,24.0,32.0,20.428571428571427,42.0,56.142857142857146,25.0,36.57142857142857,17.0,16.428571428571427
2021-03-04,13.0,10.428571428571429,41.0,47.71428571428572,4.0,26.428571428571427,31.0,20.428571428571427,42.0,60.57142857142857,18.0,40.285714285714285,21.0,17.428571428571427
2021-03-03,15.0,9.285714285714286,40.0,48.85714285714285,13.0,29.428571428571427,16.0,19.714285714285715,62.0,64.71428571428571,24.0,47.57142857142857,11.0,17.714285714285715
2021-03-02,15.0,8.857142857142858,56.0,49.57142857142857,26.0,30.571428571428573,14.0,19.571428571428573,77.0,64.57142857142857,49.0,49.57142857142857,12.0,20.428571428571427
2021-03-01,3.0,9.428571428571429,53.0,49.0,31.0,29.0,17.0,19.714285714285715,60.0,58.0,47.0,44.85714285714285,8.0,24.285714285714285
2021-02-28,9.0,11.142857142857142,40.0,48.42857142857143,41.0,26.857142857142858,16.0,19.714285714285715,45.0,56.57142857142857,49.0,40.285714285714285,19.0,26.428571428571427
2021-02-27,13.0,10.857142857142858,45.0,50.57142857142857,42.0,23.571428571428573,17.0,18.428571428571427,65.0,63.285714285714285,44.0,34.714285714285715,27.0,26.714285714285715
2021-02-26,5.0,11.142857142857142,59.0,54.71428571428572,28.0,20.571428571428573,32.0,21.285714285714285,73.0,66.85714285714286,51.0,31.428571428571427,24.0,26.571428571428573
2021-02-25,5.0,12.0,49.0,56.57142857142857,25.0,20.0,26.0,25.0,71.0,67.71428571428571,69.0,29.142857142857142,23.0,25.714285714285715
2021-02-24,12.0,12.714285714285714,45.0,55.85714285714285,21.0,20.285714285714285,15.0,26.714285714285715,61.0,67.28571428571429,38.0,23.571428571428573,30.0,23.857142857142858
2021-02-23,19.0,12.428571428571429,52.0,54.57142857142857,15.0,20.714285714285715,15.0,28.142857142857142,31.0,69.42857142857143,16.0,20.428571428571427,39.0,21.142857142857142
2021-02-22,15.0,9.714285714285714,49.0,52.71428571428572,16.0,24.142857142857142,17.0,27.857142857142858,50.0,75.71428571428571,15.0,20.857142857142858,23.0,16.857142857142858
2021-02-21,7.0,7.571428571428571,55.0,48.285714285714285,18.0,26.142857142857142,7.0,26.142857142857142,92.0,72.14285714285714,10.0,20.714285714285715,21.0,13.571428571428571
2021-02-20,15.0,7.857142857142857,74.0,44.142857142857146,21.0,26.428571428571427,37.0,27.714285714285715,90.0,62.0,21.0,21.857142857142858,26.0,11.857142857142858
2021-02-19,11.0,7.0,72.0,37.285714285714285,24.0,26.285714285714285,58.0,25.0,79.0,52.142857142857146,35.0,21.428571428571427,18.0,9.428571428571429
2021-02-18,10.0,9.714285714285714,44.0,31.857142857142858,27.0,27.571428571428573,38.0,20.571428571428573,68.0,47.85714285714285,30.0,22.0,10.0,14.571428571428571
2021-02-17,10.0,10.142857142857142,36.0,31.428571428571427,24.0,27.142857142857142,25.0,21.142857142857142,76.0,45.71428571428572,16.0,25.714285714285715,11.0,18.428571428571427
2021-02-16,0.0,12.428571428571429,39.0,33.142857142857146,39.0,29.857142857142858,13.0,23.571428571428573,75.0,40.85714285714285,19.0,33.0,9.0,19.285714285714285
2021-02-15,0.0,15.285714285714286,18.0,31.142857142857142,30.0,29.285714285714285,5.0,27.142857142857142,25.0,36.285714285714285,14.0,35.285714285714285,0.0,22.857142857142858
2021-02-14,9.0,18.0,26.0,31.142857142857142,20.0,30.857142857142858,18.0,31.428571428571427,21.0,36.42857142857143,18.0,38.71428571428572,9.0,25.428571428571427
2021-02-13,9.0,18.857142857142858,26.0,32.42857142857143,20.0,33.285714285714285,18.0,30.857142857142858,21.0,38.142857142857146,18.0,41.85714285714285,9.0,28.142857142857142
2021-02-12,30.0,23.428571428571427,34.0,36.42857142857143,33.0,36.71428571428572,27.0,37.285714285714285,49.0,43.42857142857143,39.0,45.71428571428572,54.0,29.714285714285715
2021-02-11,13.0,23.142857142857142,41.0,39.285714285714285,24.0,37.71428571428572,42.0,42.0,53.0,47.142857142857146,56.0,51.142857142857146,37.0,26.142857142857142
2021-02-10,26.0,25.571428571428573,48.0,39.42857142857143,43.0,42.71428571428572,42.0,45.71428571428572,42.0,46.85714285714285,67.0,49.85714285714285,17.0,26.142857142857142
2021-02-09,20.0,24.571428571428573,25.0,40.42857142857143,35.0,49.57142857142857,38.0,47.0,43.0,48.85714285714285,35.0,50.0,34.0,28.714285714285715
2021-02-08,19.0,23.857142857142858,18.0,40.42857142857143,41.0,47.142857142857146,35.0,45.285714285714285,26.0,47.57142857142857,38.0,50.57142857142857,18.0,26.142857142857142
2021-02-07,15.0,26.571428571428573,35.0,43.0,37.0,49.71428571428572,14.0,49.0,33.0,52.0,40.0,49.71428571428572,28.0,29.571428571428573
2021-02-06,41.0,26.857142857142858,54.0,45.0,44.0,49.285714285714285,63.0,54.57142857142857,58.0,52.0,45.0,47.0,20.0,28.857142857142858
2021-02-05,28.0,23.571428571428573,54.0,46.85714285714285,40.0,50.142857142857146,60.0,51.71428571428572,75.0,47.285714285714285,77.0,47.142857142857146,29.0,30.571428571428573
2021-02-04,30.0,26.142857142857142,42.0,47.57142857142857,59.0,52.0,68.0,51.85714285714285,51.0,42.42857142857143,47.0,44.85714285714285,37.0,34.57142857142857
2021-02-03,15.0,28.571428571428573,25.0,57.71428571428572,18.0,45.85714285714285,26.0,56.42857142857143,34.0,43.85714285714285,39.0,45.42857142857143,16.0,40.142857142857146
2021-02-02,38.0,31.571428571428573,36.0,63.142857142857146,59.0,50.142857142857146,61.0,64.71428571428571,57.0,50.71428571428572,32.0,50.57142857142857,42.0,43.142857142857146
2021-02-01,17.0,31.0,49.0,65.28571428571429,34.0,48.71428571428572,53.0,64.42857142857143,33.0,47.142857142857146,21.0,57.0,23.0,45.57142857142857
2021-01-31,18.0,35.142857142857146,67.0,67.14285714285714,50.0,51.57142857142857,43.0,64.71428571428571,25.0,49.71428571428572,46.0,59.57142857142857,32.0,54.42857142857143
2021-01-30,46.0,40.42857142857143,59.0,67.28571428571429,53.0,55.42857142857143,61.0,73.85714285714286,41.0,60.57142857142857,61.0,65.28571428571429,57.0,64.14285714285714
2021-01-29,29.0,43.142857142857146,83.0,70.28571428571429,43.0,62.42857142857143,57.0,76.28571428571429,72.0,65.42857142857143,63.0,74.85714285714286,44.0,72.85714285714286
2021-01-28,37.0,49.85714285714285,85.0,71.57142857142857,64.0,63.71428571428572,94.0,78.0,45.0,78.28571428571429,56.0,82.71428571428571,67.0,79.71428571428571
2021-01-27,36.0,53.85714285714285,63.0,69.42857142857143,48.0,61.85714285714285,84.0,75.28571428571429,82.0,84.14285714285714,75.0,89.14285714285714,37.0,95.71428571428572
2021-01-26,34.0,59.142857142857146,51.0,72.14285714285714,49.0,65.14285714285714,59.0,72.28571428571429,32.0,78.28571428571429,77.0,89.71428571428571,59.0,102.0
2021-01-25,46.0,63.85714285714285,62.0,75.71428571428571,54.0,69.42857142857143,55.0,81.14285714285714,51.0,86.85714285714286,39.0,90.85714285714286,85.0,107.42857142857144
2021-01-23,55.0,81.0,68.0,80.71428571428571,77.0,70.14285714285714,107.0,86.28571428571429,101.0,100.14285714285714,86.0,105.85714285714286,100.0,131.57142857142858
2021-01-22,65.0,81.71428571428571,80.0,94.14285714285714,102.0,67.85714285714286,78.0,78.57142857142857,75.0,107.42857142857144,128.0,112.42857142857144,118.0,133.71428571428572
2021-01-21,76.0,81.14285714285714,92.0,98.85714285714286,52.0,64.85714285714286,69.0,87.14285714285714,162.0,115.71428571428572,118.0,117.14285714285714,92.0,138.0
2021-01-20,65.0,84.85714285714286,70.0,99.0,51.0,69.57142857142857,75.0,92.57142857142856,86.0,113.14285714285714,101.0,114.57142857142856,179.0,163.14285714285714
2021-01-19,73.0,90.28571428571428,82.0,106.0,71.0,74.85714285714286,63.0,106.28571428571428,41.0,122.85714285714286,79.0,121.0,81.0,172.57142857142858
2021-01-18,67.0,90.42857142857144,76.0,105.0,79.0,71.42857142857143,121.0,109.57142857142856,92.0,126.71428571428572,85.0,133.42857142857142,97.0,183.57142857142856
2021-01-17,166.0,101.0,97.0,114.57142857142856,59.0,71.71428571428571,91.0,113.14285714285714,144.0,136.28571428571428,144.0,144.85714285714286,254.0,186.57142857142856
2021-01-16,60.0,102.0,162.0,127.85714285714286,61.0,80.14285714285714,53.0,109.28571428571428,152.0,134.14285714285714,132.0,155.71428571428572,115.0,182.1428571428572
2021-01-15,61.0,104.85714285714286,113.0,128.42857142857142,81.0,82.57142857142857,138.0,111.28571428571428,133.0,138.0,161.0,153.42857142857142,148.0,206.0
2021-01-14,102.0,103.71428571428572,93.0,136.57142857142858,85.0,90.14285714285714,107.0,116.71428571428572,144.0,141.0,100.0,151.42857142857142,268.0,211.1428571428572
2021-01-13,103.0,105.71428571428572,119.0,148.14285714285714,88.0,91.57142857142856,171.0,122.28571428571428,154.0,143.85714285714286,146.0,162.14285714285714,245.0,202.57142857142856
2021-01-12,74.0,96.28571428571428,75.0,144.42857142857142,47.0,82.57142857142857,86.0,103.85714285714286,68.0,129.71428571428572,166.0,153.57142857142858,158.0,174.28571428571428
2021-01-11,141.0,108.0,143.0,152.42857142857142,81.0,92.28571428571428,146.0,108.71428571428572,159.0,135.28571428571428,165.0,148.57142857142858,118.0,170.57142857142858
2021-01-10,173.0,105.57142857142856,190.0,152.71428571428572,118.0,97.71428571428572,64.0,109.28571428571428,129.0,126.42857142857144,220.0,144.57142857142858,223.0,175.42857142857142
2021-01-09,80.0,90.71428571428572,166.0,151.57142857142858,78.0,90.57142857142856,67.0,116.57142857142856,179.0,121.28571428571428,116.0,127.14285714285714,282.0,162.71428571428572
2021-01-08,53.0,90.85714285714286,170.0,147.57142857142858,134.0,96.42857142857144,176.0,125.14285714285714,154.0,113.42857142857144,147.0,131.42857142857142,184.0,148.14285714285714
2021-01-06,116.0,94.0,174.0,143.85714285714286,95.0,96.14285714285714,146.0,121.57142857142856,164.0,107.57142857142856,175.0,124.0,208.0,162.42857142857142
2021-01-05,37.0,86.85714285714286,93.0,139.0,25.0,96.28571428571428,42.0,122.57142857142856,55.0,103.28571428571428,86.0,108.14285714285714,47.0,159.42857142857142
2021-01-04,156.0,100.57142857142856,131.0,146.0,115.0,101.28571428571428,120.0,137.85714285714286,107.0,115.42857142857144,131.0,113.57142857142856,132.0,181.28571428571428
2021-01-03,124.0,90.28571428571428,145.0,144.57142857142858,119.0,101.14285714285714,150.0,140.14285714285714,97.0,107.71428571428572,137.0,105.42857142857144,152.0,192.7142857142857
2021-01-02,69.0,85.57142857142857,182.0,134.0,68.0,96.28571428571428,115.0,137.85714285714286,93.0,102.57142857142856,98.0,93.14285714285714,134.0,202.42857142857144
2021-01-01,81.0,87.85714285714286,138.0,115.71428571428572,119.0,100.71428571428572,127.0,134.42857142857142,124.0,94.85714285714286,146.0,87.0,180.0,205.8571428571429
2020-12-31,75.0,83.14285714285714,144.0,107.28571428571428,132.0,92.57142857142856,151.0,129.85714285714286,113.0,87.28571428571429,95.0,75.28571428571429,284.0,207.7142857142857
2020-12-30,66.0,78.42857142857143,140.0,96.28571428571428,96.0,86.28571428571429,153.0,119.42857142857144,134.0,81.42857142857143,64.0,73.42857142857143,187.0,186.28571428571428
2020-12-29,133.0,76.28571428571429,142.0,89.28571428571429,60.0,83.57142857142857,149.0,108.71428571428572,140.0,69.71428571428571,124.0,78.28571428571429,200.0,176.42857142857142
2020-12-28,84.0,69.28571428571429,121.0,86.42857142857143,114.0,84.71428571428571,136.0,104.14285714285714,53.0,60.285714285714285,74.0,73.28571428571429,212.0,177.71428571428572
2020-12-27,91.0,67.0,71.0,85.57142857142857,85.0,76.85714285714286,134.0,97.42857142857144,61.0,57.142857142857146,51.0,76.14285714285714,220.0,168.28571428571428
2020-12-26,85.0,66.42857142857143,54.0,89.42857142857143,99.0,76.57142857142857,91.0,90.14285714285714,39.0,52.0,55.0,80.85714285714286,158.0,165.28571428571428
2020-12-25,48.0,64.0,79.0,91.0,62.0,74.14285714285714,95.0,92.28571428571428,71.0,52.85714285714285,64.0,87.0,193.0,165.0
2020-12-24,42.0,67.71428571428571,67.0,93.85714285714286,88.0,77.71428571428571,78.0,91.71428571428572,72.0,46.42857142857143,82.0,91.0,134.0,156.85714285714286
2020-12-23,51.0,72.14285714285714,91.0,98.28571428571428,77.0,73.85714285714286,78.0,104.14285714285714,52.0,44.57142857142857,98.0,92.28571428571428,118.0,168.42857142857142
2020-12-22,84.0,73.0,122.0,98.57142857142856,68.0,75.0,117.0,107.14285714285714,74.0,45.0,89.0,88.85714285714286,209.0,177.42857142857142
2020-12-21,68.0,64.71428571428571,115.0,98.57142857142856,59.0,77.0,89.0,103.14285714285714,31.0,41.57142857142857,94.0,88.57142857142857,146.0,175.28571428571428
2020-12-20,87.0,60.71428571428572,98.0,94.85714285714286,83.0,75.71428571428571,83.0,101.42857142857144,25.0,39.85714285714285,84.0,82.28571428571429,199.0,168.28571428571428
2020-12-19,68.0,55.142857142857146,65.0,90.42857142857144,82.0,74.28571428571429,106.0,103.14285714285714,45.0,40.71428571428572,98.0,81.85714285714286,156.0,164.28571428571428
2020-12-18,74.0,50.85714285714285,99.0,93.71428571428572,87.0,68.57142857142857,91.0,107.57142857142856,26.0,42.285714285714285,92.0,76.85714285714286,136.0,153.28571428571428
2020-12-17,73.0,44.85714285714285,98.0,90.85714285714286,61.0,66.0,165.0,106.85714285714286,59.0,45.71428571428572,91.0,72.71428571428571,215.0,148.14285714285714
2020-12-16,57.0,39.71428571428572,93.0,89.0,85.0,63.57142857142857,99.0,97.57142857142856,55.0,44.85714285714285,74.0,72.71428571428571,181.0,129.71428571428572
2020-12-15,26.0,36.71428571428572,122.0,85.28571428571429,82.0,60.57142857142857,89.0,92.71428571428572,50.0,43.0,87.0,70.71428571428571,194.0,115.42857142857144
2020-12-14,40.0,42.0,89.0,77.14285714285714,50.0,57.285714285714285,77.0,89.42857142857143,19.0,44.285714285714285,50.0,66.71428571428571,97.0,105.57142857142856
2020-12-13,48.0,39.142857142857146,67.0,76.57142857142857,73.0,62.71428571428572,95.0,92.71428571428572,31.0,44.71428571428572,81.0,67.85714285714286,171.0,105.57142857142856
2020-12-12,38.0,38.0,88.0,79.14285714285714,42.0,60.57142857142857,137.0,85.28571428571429,56.0,45.0,63.0,64.57142857142857,79.0,91.14285714285714
2020-12-11,32.0,37.42857142857143,79.0,89.57142857142857,69.0,62.42857142857143,86.0,78.0,50.0,43.42857142857143,63.0,65.14285714285714,100.0,88.71428571428571
2020-12-10,37.0,35.142857142857146,85.0,85.0,44.0,60.142857142857146,100.0,76.85714285714286,53.0,43.85714285714285,91.0,60.57142857142857,86.0,84.0
2020-12-09,36.0,35.285714285714285,67.0,88.14285714285714,64.0,63.142857142857146,65.0,74.14285714285714,42.0,42.285714285714285,60.0,56.71428571428572,81.0,81.57142857142857
2020-12-08,63.0,35.57142857142857,65.0,84.71428571428571,59.0,61.71428571428572,66.0,72.57142857142857,59.0,43.71428571428572,59.0,57.57142857142857,125.0,76.57142857142857
2020-12-07,20.0,33.285714285714285,85.0,90.71428571428572,88.0,62.57142857142857,100.0,71.57142857142857,22.0,40.42857142857143,58.0,62.71428571428572,97.0,65.57142857142857
2020-12-06,40.0,35.285714285714285,85.0,91.42857142857144,58.0,57.0,43.0,66.14285714285714,33.0,43.71428571428572,58.0,64.57142857142857,70.0,59.142857142857146
2020-12-05,34.0,32.0,161.0,86.0,55.0,55.85714285714285,86.0,68.28571428571429,45.0,42.285714285714285,67.0,64.57142857142857,62.0,57.285714285714285
2020-12-04,16.0,29.428571428571427,47.0,81.14285714285714,53.0,53.142857142857146,78.0,63.71428571428572,53.0,44.285714285714285,31.0,66.0,67.0,57.57142857142857
2020-12-03,38.0,29.714285714285715,107.0,84.14285714285714,65.0,49.57142857142857,81.0,65.42857142857143,42.0,44.85714285714285,64.0,74.71428571428571,69.0,53.71428571428572
2020-12-02,38.0,26.857142857142858,43.0,75.14285714285714,54.0,53.0,54.0,68.57142857142857,52.0,47.42857142857143,66.0,76.71428571428571,46.0,52.285714285714285
2020-12-01,47.0,23.714285714285715,107.0,78.28571428571429,65.0,60.57142857142857,59.0,68.57142857142857,36.0,45.57142857142857,95.0,77.14285714285714,48.0,51.142857142857146
2020-11-30,34.0,19.571428571428573,90.0,68.0,49.0,55.0,62.0,69.28571428571429,45.0,43.57142857142857,71.0,74.71428571428571,52.0,51.285714285714285
2020-11-29,17.0,17.142857142857142,47.0,59.42857142857143,50.0,51.85714285714285,58.0,67.28571428571429,23.0,40.0,58.0,73.85714285714286,57.0,51.142857142857146
2020-11-28,16.0,16.142857142857142,127.0,57.0,36.0,48.71428571428572,54.0,64.57142857142857,59.0,40.42857142857143,77.0,75.14285714285714,64.0,48.42857142857143
2020-11-27,18.0,16.142857142857142,68.0,44.142857142857146,28.0,50.0,90.0,62.142857142857146,57.0,35.857142857142854,92.0,73.14285714285714,40.0,43.85714285714285
2020-11-26,18.0,15.0,44.0,42.71428571428572,89.0,53.142857142857146,103.0,57.57142857142857,60.0,32.0,78.0,67.0,59.0,45.0
2020-11-25,16.0,16.142857142857142,65.0,41.142857142857146,107.0,47.57142857142857,54.0,51.285714285714285,39.0,31.0,69.0,61.285714285714285,38.0,44.0
2020-11-24,18.0,17.0,35.0,43.85714285714285,26.0,38.0,64.0,48.85714285714285,22.0,34.857142857142854,78.0,55.42857142857143,49.0,44.285714285714285
2020-11-23,17.0,17.142857142857142,30.0,43.285714285714285,27.0,40.285714285714285,48.0,44.285714285714285,20.0,37.142857142857146,65.0,49.85714285714285,51.0,40.142857142857146
2020-11-22,10.0,15.142857142857142,30.0,47.42857142857143,28.0,44.71428571428572,39.0,42.85714285714285,26.0,35.714285714285715,67.0,48.142857142857146,38.0,35.285714285714285
2020-11-21,16.0,14.571428571428571,37.0,49.85714285714285,45.0,48.85714285714285,37.0,41.85714285714285,27.0,36.142857142857146,63.0,46.0,32.0,31.857142857142858
2020-11-20,10.0,14.428571428571429,58.0,53.285714285714285,50.0,49.71428571428572,58.0,42.285714285714285,30.0,39.57142857142857,49.0,46.57142857142857,48.0,29.714285714285715
2020-11-19,26.0,16.285714285714285,33.0,52.42857142857143,50.0,50.71428571428572,59.0,37.71428571428572,53.0,46.85714285714285,38.0,47.57142857142857,52.0,26.857142857142858
2020-11-18,22.0,13.571428571428571,84.0,54.57142857142857,40.0,51.71428571428572,37.0,34.857142857142854,66.0,47.42857142857143,28.0,49.57142857142857,40.0,24.428571428571427
2020-11-17,19.0,13.714285714285714,31.0,51.285714285714285,42.0,51.85714285714285,32.0,35.142857142857146,38.0,49.142857142857146,39.0,52.285714285714285,20.0,22.714285714285715
2020-11-16,3.0,13.0,59.0,55.42857142857143,58.0,54.142857142857146,38.0,36.42857142857143,10.0,51.0,53.0,53.285714285714285,17.0,24.0
2020-11-15,6.0,14.0,47.0,54.71428571428572,57.0,50.42857142857143,32.0,36.42857142857143,29.0,54.0,52.0,51.71428571428572,14.0,22.142857142857142
2020-11-14,15.0,15.857142857142858,61.0,51.285714285714285,51.0,49.85714285714285,40.0,40.57142857142857,51.0,56.57142857142857,67.0,49.71428571428572,17.0,22.714285714285715
2020-11-13,23.0,18.857142857142858,52.0,47.42857142857143,57.0,49.0,26.0,42.142857142857146,81.0,60.0,56.0,45.142857142857146,28.0,24.714285714285715
2020-11-12,7.0,17.285714285714285,48.0,45.42857142857143,57.0,50.0,39.0,45.57142857142857,57.0,59.71428571428572,52.0,41.142857142857146,35.0,21.571428571428573
2020-11-11,23.0,20.285714285714285,61.0,44.0,41.0,49.285714285714285,39.0,47.57142857142857,78.0,58.0,47.0,38.71428571428572,28.0,17.285714285714285
2020-11-10,14.0,17.571428571428573,60.0,38.85714285714285,58.0,50.142857142857146,41.0,47.85714285714285,51.0,54.42857142857143,46.0,35.0,29.0,16.142857142857142
2020-11-09,10.0,17.428571428571427,54.0,34.0,32.0,48.57142857142857,38.0,46.0,31.0,52.142857142857146,42.0,31.857142857142858,4.0,12.428571428571429
2020-11-08,19.0,17.142857142857142,23.0,35.142857142857146,53.0,51.85714285714285,61.0,45.0,47.0,55.71428571428572,38.0,28.857142857142858,18.0,12.285714285714286
2020-11-07,36.0,14.571428571428571,34.0,41.0,45.0,51.285714285714285,51.0,40.57142857142857,75.0,56.285714285714285,35.0,25.857142857142858,31.0,11.0
2020-11-06,12.0,10.571428571428571,38.0,39.42857142857143,64.0,48.71428571428572,50.0,38.285714285714285,79.0,57.285714285714285,28.0,24.0,6.0,8.428571428571429
2020-11-05,28.0,9.571428571428571,38.0,38.57142857142857,52.0,42.85714285714285,53.0,36.142857142857146,45.0,63.285714285714285,35.0,22.714285714285715,5.0,8.714285714285714
2020-11-04,4.0,6.142857142857143,25.0,35.714285714285715,47.0,41.57142857142857,41.0,33.142857142857146,53.0,66.14285714285714,21.0,20.571428571428573,20.0,9.285714285714286
2020-11-03,13.0,7.714285714285714,26.0,36.71428571428572,47.0,38.0,28.0,29.714285714285715,35.0,72.14285714285714,24.0,19.428571428571427,3.0,7.571428571428571
2020-11-02,8.0,6.571428571428571,62.0,45.85714285714285,55.0,41.0,31.0,32.714285714285715,56.0,88.42857142857143,21.0,17.285714285714285,3.0,10.142857142857142
2020-11-01,1.0,7.0,64.0,40.285714285714285,49.0,37.0,30.0,34.142857142857146,51.0,91.28571428571428,17.0,14.857142857142858,9.0,10.0
2020-10-31,8.0,8.285714285714286,23.0,38.57142857142857,27.0,34.42857142857143,35.0,31.714285714285715,82.0,95.42857142857144,22.0,15.428571428571429,13.0,10.428571428571429
2020-10-30,5.0,8.285714285714286,32.0,42.57142857142857,23.0,33.57142857142857,35.0,28.142857142857142,121.0,96.42857142857144,19.0,14.285714285714286,8.0,8.857142857142858
2020-10-29,4.0,9.0,18.0,43.42857142857143,43.0,35.142857142857146,32.0,25.285714285714285,65.0,91.57142857142856,20.0,13.428571428571429,9.0,8.571428571428571
2020-10-28,15.0,9.857142857142858,32.0,45.0,22.0,33.142857142857146,17.0,23.571428571428573,95.0,92.57142857142856,13.0,11.857142857142858,8.0,7.571428571428571
2020-10-27,5.0,8.142857142857142,90.0,46.57142857142857,68.0,33.42857142857143,49.0,26.0,149.0,87.14285714285714,9.0,12.142857142857142,21.0,6.142857142857143
